[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001012s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001590s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000904s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000984s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004797s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001021s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001108s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Run CheckRoute Behavior [ RunTime:0.001359s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001475s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000603s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000683s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | NOTIC: [8] Undefined index:  url IndexAction.class.php 第 36 行.
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | NOTIC: [8] Undefined index:  timestamp IndexAction.class.php 第 41 行.
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Run CheckRoute Behavior [ RunTime:0.001352s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001472s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001102s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001185s ]
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | NOTIC: [8] Undefined index:  url IndexAction.class.php 第 36 行.
[ 2012-12-10T16:29:23+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128163562 | NOTIC: [8] Undefined index:  timestamp IndexAction.class.php 第 41 行.
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000620s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000728s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000408s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000493s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009136s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009239s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000489s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000501s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000765s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000598s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002627s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000559s ]
[ 2012-12-10T16:29:28+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000650s ]
[ 2012-12-10T16:29:29+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128169015 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T16:29:29+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128169015 | INFO: Run CheckRoute Behavior [ RunTime:0.000963s ]
[ 2012-12-10T16:29:29+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128169015 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001083s ]
[ 2012-12-10T16:29:29+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128169015 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T16:29:29+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128169015 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000615s ]
[ 2012-12-10T16:29:29+08:00 ] /nextUpFile/index.php/Index/uploadify/uploadify.swf?preventswfcaching=1355128169015 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000695s ]
